name,ra,dec,pmra,pmdec,l,b,pml,pmb,rv,dist,epmra,epmdec,erv,edist,kin_in,x_gc,y_gc,z_gc,R_gal,u,du,v,dv,w,dw,vx_gc,vy_gc,vz_gc,R,phi,vRg,vTg,staeckel_N_orbits,staeckel_bound,staeckel_Energy,staeckel_Energy_unc,staeckel_L_z,staeckel_L_z_unc,staeckel_L_p,staeckel_L_p_unc,staeckel_I_3,staeckel_I_3_unc,staeckel_Z_max,staeckel_Z_max_unc,staeckel_ecc,staeckel_ecc_unc,staeckel_r_apo,staeckel_r_apo_unc,staeckel_r_peri,staeckel_r_peri_unc,staeckel_R_apo_P,staeckel_R_apo_P_unc,staeckel_R_peri_P,staeckel_R_peri_P_unc,mw14_N_orbits,mw14_bound,mw14_Energy,mw14_Energy_unc,mw14_L_x,mw14_L_x_unc,mw14_L_y,mw14_L_y_unc,mw14_L_z,mw14_L_z_unc,mw14_Z_max,mw14_Z_max_unc,mw14_ecc,mw14_ecc_unc,mw14_r_apo,mw14_r_apo_unc,mw14_r_peri,mw14_r_peri_unc
J00002259-1302275,0.094121612,-13.04104577,-2.607,-9.453,80.1268659907,-71.5311485626,-7.91195273949,-5.79281122151,-104.37,3.720089328,-9.999,-9.999,-9.999,-9.999,None,7.7979226301,1.16103505314,-3.52848791273,8.63746645087,115.177145682,-9.999,-151.957516438,-9.999,66.6326031018,-9.999,-124.176908952,80.042278551,73.6325447656,7.88388227587,0.147804491835,-111.035401937,97.4567113608,-9.999,True,-136222.923268,-9.999,768.337239362,-9.999,392.25802612,-9.999,623581.325222,-9.999,4.61246733143,-9.999,0.603182386638,-9.999,10.9713956929,-9.999,2.71562555226,-9.999,10.8548596021,-9.999,2.71562555226,-9.999,-9.999,True,-46053.5931367,-9.999,367.918177899,-9.999,-136.024164863,-9.999,768.337239362,-9.999,4.73988393887,-9.999,0.647273806984,-9.999,11.0958677809,-9.999,2.37592753795,-9.999
J00021668-2453494,0.569517285,-24.89711521,-3.612,-8.09,41.6050019784,-78.737130205,-8.72568975271,1.53524667056,80.1,4.070598049,-9.999,-9.999,-9.999,-9.999,None,7.4055171887,0.527899154727,-3.99220254321,8.42959331734,145.223131278,-9.999,-96.221642594,-9.999,-72.7713187961,-9.999,-154.223145932,135.778329202,-65.7712522602,7.42430888027,0.0711641990841,-144.178388876,146.400565583,-9.999,True,-126913.105343,-9.999,1086.92301914,-9.999,1213.86481654,-9.999,1349716.5276,-9.999,7.70923582608,-9.999,0.374834876447,-9.999,11.7815432052,-9.999,5.35730511327,-9.999,11.50638198,-9.999,5.35730511327,-9.999,-9.999,True,-36992.993258,-9.999,507.334002681,-9.999,1102.76017455,-9.999,1086.92301914,-9.999,8.26841865954,-9.999,0.366615681111,-9.999,11.8607509268,-9.999,5.49709311194,-9.999
J00400685-4325183,10.02861763,-43.42181035,3.047,-8.352,310.207602761,-73.5461134264,-4.30617512035,7.77797973981,47.13,5.549197586,-9.999,-9.999,-9.999,-9.999,None,6.98532026928,-1.20037362308,-5.32194720544,8.86333561121,48.7827256346,-9.999,-233.182836507,-9.999,12.7534103322,-9.999,-57.7824904671,-1.18290061756,19.7531376578,7.08770739375,6.11300512686,-56.7474441064,-10.9518512519,-9.999,True,-144954.970948,-9.999,-77.6235170931,-9.999,172.168384614,-9.999,763838.838174,-9.999,5.5813899475,-9.999,0.931300342812,-9.999,9.2525508548,-9.999,0.32912906281,-9.999,8.96891738092,-9.999,0.32912906281,-9.999,-9.999,True,-55481.0878977,-9.999,-30.0064800534,-9.999,169.533370802,-9.999,-77.6235170931,-9.999,7.1696719525,-9.999,0.943596853611,-9.999,9.69220835052,-9.999,0.281267715274,-9.999
J00405260-5122491,10.22057109,-51.38112504,211.493,-197.324,306.930749651,-65.6650906975,-230.06668346,175.315062635,123.25,0.148644891,-9.999,-9.999,-9.999,-9.999,None,7.96319660632,-0.0489624061055,-0.13543816531,7.96449879181,-31.4423019484,-9.999,-227.980523841,-9.999,-61.394439234,-9.999,22.4424261442,4.01959558465,-54.394819098,7.9633471297,6.27703679779,22.4172875714,4.15750620463,-9.999,True,-156971.867239,-9.999,33.1076651014,-9.999,430.129038804,-9.999,122848.470649,-9.999,0.909353086414,-9.999,0.975597900704,-9.999,8.0203005104,-9.999,0.0990647790053,-9.999,8.01000412741,-9.999,0.0990647790053,-9.999,-9.999,True,-64903.5675513,-9.999,3.20770787398,-9.999,430.11707782,-9.999,33.1076651014,-9.999,1.0962911006,-9.999,0.981360228935,-9.999,8.13270421883,-9.999,0.0765089268292,-9.999
J00453930-7457294,11.41394477,-74.95840313,3.29,-46.994,303.437987937,-42.1641659682,-4.71192377568,46.8727843245,-31.81,1.618468353,-9.999,-9.999,-9.999,-9.999,None,7.33895210613,-1.00108493634,-1.08640896624,7.48616547425,89.8589353753,-9.999,-201.688098152,-9.999,287.913444742,-9.999,-98.8583356517,30.3113953706,294.913277121,7.40691494928,6.14761495503,-102.048002052,16.6720272999,-9.999,True,-110883.578621,-9.999,123.488288242,-9.999,2073.61080357,-9.999,3006092.3519,-9.999,17.5012160622,-9.999,0.526071209365,-9.999,17.5514407217,-9.999,5.45068475448,-9.999,17.0923809993,-9.999,5.45068475448,-9.999,-9.999,True,-19586.9821349,-9.999,-262.302667542,-9.999,-2056.95383402,-9.999,123.488288242,-9.999,20.6425367515,-9.999,0.560591941729,-9.999,20.7228607545,-9.999,5.83483213163,-9.999
J01202234-5425582,20.09326195,-54.43283865,33.022,3.871,293.901286398,-62.1851664954,-32.9851851418,4.17309072025,68.71,1.421116914,-9.999,-9.999,-9.999,-9.999,None,7.73132953847,-0.606248225262,-1.25692185745,7.85626157271,-180.093129918,-9.999,-142.076829803,-9.999,-47.6532380226,-9.999,171.093193872,89.9234077178,-40.6537044836,7.75506243322,6.20493095083,163.539877106,103.023341244,-9.999,True,-137742.970407,-9.999,798.952443428,-9.999,169.722336834,-9.999,209433.829349,-9.999,1.80967037724,-9.999,0.657592862587,-9.999,11.2305131698,-9.999,2.3198747732,-9.999,11.2140440583,-9.999,2.3198747732,-9.999,-9.999,True,-46490.47613,-9.999,137.67293285,-9.999,99.256411284,-9.999,798.952443428,-9.999,1.88672143482,-9.999,0.695708481471,-9.999,11.447516449,-9.999,2.05423408664,-9.999
J01293113-1600454,22.37976566,-16.0128218,11.745,-42.709,163.339558921,-75.8031121644,35.0280782218,-27.1115739508,139.09,1.758394477,-9.999,-9.999,-9.999,-9.999,None,8.41314822603,0.123643198705,-1.70469118596,8.58500569325,93.501316283,-9.999,-332.756279735,-9.999,-190.267539394,-9.999,-102.501279086,-100.756087246,-183.267894313,8.41405673345,0.0146953666866,-103.970805871,-99.2389684445,-9.999,True,-125481.889551,-9.999,-835.002310661,-9.999,1727.56759066,-9.999,1997827.56106,-9.999,9.54295245911,-9.999,0.286832070727,-9.999,11.3552948675,-9.999,6.29315379308,-9.999,10.8662331051,-9.999,6.29315379308,-9.999,-9.999,True,-34432.1978032,-9.999,-194.417842533,-9.999,1716.59298694,-9.999,-835.002310661,-9.999,10.2161130705,-9.999,0.259814840344,-9.999,11.720178343,-9.999,6.8860135634,-9.999
J01425422-5032488,25.7262851,-50.54731647,60.701,-100.944,283.661011792,-64.6115925395,-7.16630740882,117.571027788,157.57,0.662169164,-9.999,-9.999,-9.999,-9.999,None,7.93294720011,-0.275874070707,-0.598218539408,7.96025270978,72.8414259218,-9.999,-394.940006549,-9.999,15.8808473301,-9.999,-81.841035807,-162.940097633,22.8803715026,7.93774261252,6.24842358058,-76.1286548761,-165.686023748,-9.999,True,-141040.285634,-9.999,-1315.173011,-9.999,168.347857081,-9.999,91495.228077,-9.999,0.744783796047,-9.999,0.325079588878,-9.999,9.0318929406,-9.999,4.60033415943,-9.999,9.02685144585,-9.999,4.60033415943,-9.999,-9.999,True,-49313.0834594,-9.999,-103.785888443,-9.999,-132.549954145,-9.999,-1315.173011,-9.999,0.774349457891,-9.999,0.354733575127,-9.999,9.08164293756,-9.999,4.32563227035,-9.999
J01451951-2800583,26.33144296,-28.0162764,13.555,-8.727,220.294424575,-78.0312263914,8.46422851766,13.7206191406,21.26,3.414982819,-9.999,-9.999,-9.999,-9.999,None,8.5401575333,-0.457994826746,-3.34074516118,9.18175518008,-80.4804169199,-9.999,-247.888305741,-9.999,25.2646802797,-9.999,71.4806836748,-15.8882679838,32.2642009838,8.55242947676,6.22960824889,72.2289549879,-12.0375769783,-9.999,True,-144448.269272,-9.999,-102.950528178,-9.999,518.796794127,-9.999,599616.612424,-9.999,4.49968984008,-9.999,0.925840077159,-9.999,9.63608627834,-9.999,0.371064774988,-9.999,9.47586231051,-9.999,0.371064774988,-9.999,-9.999,True,-54145.5528192,-9.999,-67.8554915262,-9.999,-514.340107192,-9.999,-102.950528178,-9.999,5.63479994573,-9.999,0.934029515042,-9.999,9.5758331722,-9.999,0.326635324503,-9.999
J01530024-3417360,28.25113184,-34.29435559,22.189,-212.06,245.164302397,-74.9760720227,184.101371483,107.556870255,22.65,0.302499685,-9.999,-9.999,-9.999,-9.999,None,8.03293520025,-0.0711621313232,-0.292159687628,8.03856139266,174.550575608,-9.999,-251.399576733,-9.999,18.1055456346,-9.999,-183.550315834,-19.3997656976,25.1054262223,8.03325039946,6.27432674327,-183.371262087,-21.0249754496,-9.999,True,-140680.604156,-9.999,-168.898892429,-9.999,148.231813401,-9.999,41389.9224304,-9.999,0.533396596524,-9.999,0.92691613004,-9.999,11.3693355285,-9.999,0.431214948246,-9.999,11.3679569736,-9.999,0.431214948246,-9.999,-9.999,True,-48722.4883624,-9.999,-7.45438512403,-9.999,-148.04425908,-9.999,-168.898892429,-9.999,0.661997542585,-9.999,0.940896189759,-9.999,11.6550700972,-9.999,0.35491802962,-9.999
J02040793-3127556,31.03303542,-31.4654587,5.327,-0.753,232.588760091,-73.5907515114,-0.249179075083,5.37418345319,89.94,3.875306253,-9.999,-9.999,-9.999,-9.999,None,8.66509666988,-0.8695565639,-3.7174610094,9.46887243934,-76.6092088631,-9.999,-92.6251854063,-9.999,-58.3863280934,-9.999,67.6092114534,139.374971616,-51.3865737968,8.70861808303,6.18316851957,53.354725994,145.429231588,-9.999,True,-132678.570067,-9.999,1266.48763601,-9.999,595.281244568,-9.999,696839.144419,-9.999,4.26819168514,-9.999,0.341280708792,-9.999,10.4416219536,-9.999,5.12800770729,-9.999,10.3271958701,-9.999,5.12800770729,-9.999,-9.999,True,-42521.3427371,-9.999,562.80455521,-9.999,193.935022029,-9.999,1266.48763601,-9.999,4.34663365322,-9.999,0.373279553713,-9.999,10.5268669992,-9.999,4.80412219487,-9.999
