Name,[Fe/H],[C/Fe],[Sr/Ba],[Ba/Eu],[Eu/Fe],A_C,RV,Energy,Lz,Lp,I3,vRg,vTg,r_apo,ecc,l,b,dist,Combined Class,RA,DEC,pmRA,pmDEC
J00002259-1302275,-2.9,-0.65,-0.82,-0.96,0.58,4.879999999999999,-104.37,-136222.923268,768.337239362,392.25802612,623581.325222,-111.035401937,97.4567113608,10.9713956929,0.603182386638,80.1268659907,-71.5311485626,3.720089328,r1,0.094121612,-13.04104577,-2.607,-9.453
J00021668-2453494,-1.81,-0.88,0.49,-0.42,0.52,5.74,80.1,-126913.105343,1086.92301914,1213.86481654,1349716.5276,-144.178388876,146.400565583,11.7815432052,0.374834876447,41.6050019784,-78.737130205,4.070598049,r1,0.569517285,-24.89711521,-3.612,-8.09
J00400685-4325183,-2.55,-0.85,0.04,-2.11,0.55,5.03,47.13,-144954.970948,-77.6235170931,172.168384614,763838.838174,-56.7474441064,-10.9518512519,9.2525508548,0.931300342812,310.207602761,-73.5461134264,5.549197586,r1,10.02861763,-43.42181035,3.047,-8.352
J00405260-5122491,-2.11,-0.04,0.13,-0.9,0.86,6.280000000000001,123.25,-156971.867239,33.1076651014,430.129038804,122848.470649,22.4172875714,4.15750620463,8.0203005104,0.975597900704,306.930749651,-65.6650906975,0.148644891,r1,10.22057109,-51.38112504,211.493,-197.324
J00453930-7457294,-2.0,0.93,0.46,-0.18,0.55,7.359999999999999,-31.81,-110883.578621,123.488288242,2073.61080357,3006092.3519,-102.048002052,16.6720272999,17.5514407217,0.526071209365,303.437987937,-42.1641659682,1.618468353,r1,11.41394477,-74.95840313,3.29,-46.994
J01202234-5425582,-2.11,-0.09,0.34,-0.14,0.3,6.23,68.71,-137742.970407,798.952443428,169.722336834,209433.829349,163.539877106,103.023341244,11.2305131698,0.657592862587,293.901286398,-62.1851664954,1.421116914,r1,20.09326195,-54.43283865,33.022,3.871
J01425422-5032488,-2.09,0.07,0.26,-0.51,0.38,6.41,157.57,-141040.285634,-1315.173011,168.347857081,91495.228077,-76.1286548761,-165.686023748,9.0318929406,0.325079588878,283.661011792,-64.6115925395,0.662169164,r1,25.7262851,-50.54731647,60.701,-100.944
J02165716-7547064,-2.5,-0.33,0.0,-0.87,1.12,5.6,-6.05,-112981.621473,1824.95133407,905.189465001,824936.296163,-141.947333822,253.836104078,16.8021388899,0.457397985933,296.201116159,-40.205343355,4.092866948,r2,34.23812535,-75.7851551,-3.367,1.648
J02355867-6745520,-1.55,0.97,-0.39,-0.01,0.5,7.8500000000000005,107.81,-151296.459152,434.177779044,244.284295342,417276.469708,49.3245389898,57.3691823935,8.21522141088,0.684486958302,288.938915827,-46.4211573533,3.569639275,r1,38.99455735,-67.76444938,10.316,-1.194
J02462013-1518419,-2.71,0.04,-0.02,-0.85,1.45,5.759999999999999,278.23,-102878.83265,-1190.82192073,729.792321825,728123.977594,231.283406773,-127.406697411,23.2076725539,0.754502799087,194.926908623,-60.8296418776,2.844816312,r2,41.58400527,-15.31167765,24.394,-11.61
J02500719-5145148,-2.2,1.04,-0.53,-0.14,0.62,7.269999999999999,310.88,-106848.930975,522.650973736,2524.53086953,4290523.81979,-66.9458413409,61.7404000459,17.1008540278,0.309927782563,268.896822011,-56.8050963261,4.782158921,r1,42.52992286,-51.75415258,-1.786,-0.793
J13164824-2743351,-1.61,-0.05,0.25,-0.53,0.54,6.769999999999999,68.1,-122242.276962,-171.177381664,241.935134066,170639.153997,270.720313979,-23.3531668409,16.3529745799,0.951096024983,309.77054533,34.8082838029,1.373636557,r1,199.2006819,-27.72642971,-60.604,-4.294
J14232679-2834200,-1.9,0.43,0.51,-0.68,0.61,6.959999999999999,135.34,-156753.499995,-754.966782033,399.571839227,289109.785347,10.8814835958,-116.53258482,6.60454380382,0.376022060711,326.299413243,30.0908899292,2.238235521,r1,215.8615132,-28.57234864,-19.31,-24.09
J14301385-2317388,-1.4,-0.7,0.06,-0.28,0.62,6.33,430.94,-98149.5039228,-1434.28723987,1402.01265123,1830874.21112,-47.3915364107,-314.243428385,24.561406016,0.651575813862,330.584961709,34.2180624567,5.618555478,r1,217.5576899,-23.29414997,-9.587,-8.145
J14325334-4125494,-2.79,-0.14,-0.39,-0.9,1.61,5.499999999999999,-230.84,-93511.1828582,1080.95824039,837.266793804,460065.590865,325.380553886,147.755999375,28.7758524549,0.837889717263,322.613782212,17.5315866414,0.929149151,r2,218.2219017,-41.43056306,-57.722,-35.39
J15260106-0911388,-2.83,-0.82,0.21,-1.01,1.7,4.779999999999999,-162.38,-120102.243366,-1351.5360593,1114.13044895,1077896.58113,141.790976188,-233.376034746,14.4954232684,0.472720730459,354.238583588,37.8299588645,2.816169404,r2,231.5043583,-9.194256319,-22.713,-28.43
J15271353-2336177,-2.15,0.33,0.38,-0.73,0.7,6.609999999999999,3.81,-153344.805161,625.586210343,394.983711882,100189.613855,55.5409631131,79.4322452652,8.18680177582,0.616861735945,343.141991144,26.8509250926,0.145657931,r1,231.8052105,-23.60538816,-228.893,-96.951
J15582962-1224344,-2.54,-0.14,0.49,-0.85,0.89,5.749999999999999,82.33,-147320.779235,1023.74199679,699.189989733,504471.295845,-49.2534459741,166.090471396,6.79430572242,0.158731517139,358.034611554,29.8290061046,2.118287681,r1,239.6234188,-12.40957171,-8.824,-0.691
J16024498-1521016,-1.8,-0.05,0.27,-0.47,0.55,6.579999999999999,100.19,-139977.298952,1306.22530003,418.55204803,115703.671003,-94.80018229,168.504322227,9.35269111781,0.350278539078,356.330161673,27.0955735836,0.27930005,r1,240.6873257,-15.3505987,-29.101,-32.442
J17093199-6027271,-2.48,-0.45,0.43,-0.75,0.6,5.5,333.97,-116898.137889,-1266.84939241,481.731586001,466415.384611,159.095440826,-291.365061707,16.9250572165,0.646556305511,330.001431529,-12.0020689445,5.340255177,r1,257.383192,-60.45759513,-8.5,-16.509
J17124284-5211479,-2.78,-0.42,0.55,-1.06,0.48,5.23,-27.19,-134882.62476,1138.09772069,755.595522135,589806.589263,-85.6853018991,237.056861078,10.4618291868,0.418811333253,337.12004549,-7.61351653452,3.74649423,r1,258.1784753,-52.19661708,-6.511,5.915
J17225742-7123000,-2.42,-0.33,-0.39,-0.37,1.07,5.68,278.61,-115867.209827,-1312.30072009,1242.26278487,1444571.36418,-1.91195468689,-244.937976494,15.904381047,0.492684400054,321.155668248,-18.9740199803,4.602618539,r2,260.738927,-71.38335657,-18.986,-3.55
J17400682-6102129,-2.24,-0.26,0.47,-0.62,0.31,5.93,249.31,-143856.197632,-570.008927809,1206.34591884,977881.684565,-76.8502109392,-80.1623316611,8.39309968331,0.461742687995,331.50929102,-15.4850460592,1.070086137,r1,265.0283261,-61.0371257,-2.801,-51.085
J17435113-5359333,-2.24,-0.35,0.07,-0.8,0.73,5.84,23.1,-157571.036861,609.50889186,725.026562052,465693.338077,37.190537363,102.740411966,6.33776464302,0.402923719061,338.116676964,-12.5209502299,2.350730247,r1,265.9631037,-53.99267411,3.674,-17.337
J18024226-4404426,-1.55,0.35,-0.27,-0.1,1.05,7.2299999999999995,-226.08,-135871.150473,-169.5582632,631.712215372,399473.55812,280.407571649,-36.641908242,12.0265247253,0.921347453062,348.507116232,-10.5021153529,3.554901284,r2,270.6760641,-44.07858942,-12.573,-17.531
J18285086-3434203,-2.46,-0.58,0.51,-0.82,0.53,5.39,22.73,-177506.501777,352.083237924,169.007457664,151717.651615,-23.8034155332,77.9043339088,4.60565903973,0.51467978628,359.450796928,-10.7562058702,3.543103128,r1,277.2119531,-34.57238434,-2.056,-9.169
J18294122-4504000,-2.48,-0.46,0.53,-0.76,0.7,5.49,-106.79,-159829.248709,623.23742343,235.800302833,295533.342655,121.608593255,148.627447866,6.38847862333,0.445222387269,349.718534571,-15.2622900956,4.072481365,r1,277.4218007,-45.06674075,2.612,-8.545
J18362318-6428124,-2.57,0.1,-0.81,-0.39,0.57,5.959999999999999,15.33,-150760.765791,1072.56252589,415.620409452,270657.732159,11.6506613768,173.353994976,6.37153625095,0.137022922894,330.72260602,-22.7238321066,2.368814801,r1,279.0966506,-64.47016665,4.111,-8.538
J18363613-7136597,-2.52,-0.75,0.38,-0.93,0.56,5.16,-68.6,-145639.100265,1145.58931512,410.740400923,262005.485487,84.180569437,179.102237164,7.82855758888,0.270345017066,323.164333869,-24.4914509938,2.385589272,r1,279.1505512,-71.61666614,-3.516,-11.51
J18562774-7251331,-2.26,-0.48,0.01,-0.33,0.32,5.6899999999999995,177.53,-143345.154021,116.024041509,209.309847147,379348.869189,-216.342426119,21.1368383293,10.243220222,0.932918113007,322.102701863,-26.1983677117,4.30939695,r1,284.1155524,-72.85918145,-5.802,1.47
J19014952-4844359,-1.87,0.02,0.61,-1.17,0.93,6.579999999999999,133.0,-166444.098851,-4.75331509218,277.803185522,216876.681972,-91.612131578,-0.83865342109,6.31070863945,0.99471821685,348.076579919,-21.6775285528,2.589058554,r1,285.4562849,-48.74338894,-5.53,-15.601
J19161821-5544454,-2.35,-0.8,0.6,-1.2,1.08,5.279999999999999,46.66,-159430.06299,716.992237396,278.042749418,360803.699798,-69.4953978273,147.799676973,5.81498328778,0.28587285161,341.259072108,-25.5397740324,3.836517095,r2,289.0759066,-55.74595743,-1.22,-3.144
J19215077-4452545,-2.56,-0.77,0.26,-1.05,0.74,5.1,2.76,-144395.760148,1158.62554061,371.888973725,346579.086355,-50.0920382097,228.586911418,7.80726339908,0.241179554666,353.126645441,-23.9029391605,3.243266137,r1,290.4615413,-44.88179015,-3.414,1.099
J19232518-5833410,-2.08,0.27,0.45,-0.65,0.76,6.619999999999999,126.89,-151877.687893,-85.7511925198,619.135495933,424369.883853,-126.238668656,-13.2067922392,8.36209370134,0.931645706339,338.352308831,-26.9756655635,1.853953929,r1,290.8547397,-58.56147357,-23.412,-16.432
