angDist,Name,RA,DEC,Vmag,MJD,Exposure time,S/N at 4129A,Rvel,e_Rvel,r_Vmag,Other names,Teff,log(g),[Fe/H],e_[Fe/H],N(FeI),N(FeII),Vt,f[C/Fe],[C/Fe],f[Sr/Fe],[Sr/Fe],f[Ba/Fe],[Ba/Fe],f[Eu/Fe],[Eu/Fe],f[Ba/Eu],[Ba/Eu],f[Sr/Ba],[Sr/Ba],Classification,A(Li),A(Be),A_C,A(N),A(O),A(Na),A(Mg),A(Al),A(Si),A(K),A(Ca),A(Sc),A(Ti),A(V),A(Cr),A(Mn),A(Fe),A(Co),A(Ni),A(Cu),A(Zn),A(Rb),A(Sr),A(Y),A(Zr),A(Nb),A(Mo),A(Ba),A(La),A(Ce),A(Pr),A(Nd),A(Sm),A(Eu),A(Gd),A(Tb),A(Dy),A(Ho),A(Er),A(Tm),A(Yb),A(Hf),A(Pb),A(Th),A(U),A(TiII),A(VII),A(CrII),A(MnII),A(FeII),ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,combined_radial_velocity,combined_radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,Combined Class
0.16679,J00002259-1302275,00 00 22.6,-13 02 27.5,12.9,57605.82086,296,17,-102.22,0.75,RAVE DR5,,4576,2.12,-2.9,0.21,58,6,2.12,,-0.65,,-1.2,,-0.38,,0.58,,-0.96,,-0.82,r-I,,,4.88,,,,,,,,,,,,,,4.6,,,,,,-1.23,,,,,-1.1,,,,,,-1.8,,,,,,,,,,,,,,,,,0.0941331321,-13.0410050738,0.001,0.001,90,2.42111131144045E+018,0.0941216115,0.0372,-13.0410457741,0.0272,0.1211,0.0471,-2.607,0.083,-9.453,0.06,1,171796,42.9354,12.60083,77454,78.0165,13.128778,137598,156.129,11.915387,1.213391,-104.37,1.02,-104.37,1.02,8,4879,,,,,r1
0.160038,J00021668-2453494,00 02 16.7,-24 53 49.5,13.5,57607.83983,3600,31,78.82,0.49,B&B,,5020,1.73,-1.81,0.19,85,19,1.85,,-0.88,,0.59,,0.1,,0.52,,-0.42,,0.49,r-I,,,5.74,,,,,,,,,,,,,,5.69,,,,,,1.65,,,,,0.47,,,,,,-0.77,,,,,,,,,,,,,,,,,0.5695344318,-24.8970803793,0.001,0,90,2.33654852498263E+018,0.5695172848,0.0239,-24.897115211,0.0151,0.1517,0.0315,-3.612,0.043,-8.09,0.031,0,93636.1,28.478,13.259757,44568.3,56.8798,13.728823,71143.8,61.2251,12.631578,1.097245,80.1,1.5,80.1,1.5,14,4923.41,,,,,r1
0.393526,J00400685-4325183,00 40 06.9,-43 25 18.4,12.4,57606.86896,600,20,48.93,0.74,RAVE DR5,HE 0037-4341,4630,1.16,-2.55,0.21,64,9,2.75,,-0.85,,-1.52,,-1.56,,0.55,,-2.11,,0.04,r-I,,,5.03,,,,,,,,,,,,,,4.95,,,,,,-1.2,,,,,-1.93,,,,,,-1.48,,,,,,,,,,,,,,,,,10.028599569,-43.4217743878,0.001,0.001,0,4.98074712933402E+018,10.0286176288,0.0218,-43.4218103469,0.0201,0.0722,0.0276,3.047,0.034,-8.352,0.038,0,317447,132.963,11.934186,125603,137.081,12.60389,275774,304.223,11.160538,1.443353,47.13,0.86,47.13,0.86,17,4568.39,,,,,r1
0.163652,J00405260-5122491,00 40 52.6,-51 22 49.1,11.2,57609.81417,900,34,123.11,0.21,RAVE DR5,CD-52 112,5689,4.51,-2.11,0.09,97,11,1.61,,-0.04,,0.09,,-0.04,,0.86,,-0.9,,0.13,r-I,,,6.28,,,,,,,,,,,,,,5.39,,,,,,0.85,,,,,0.03,,,,,,-0.73,,,,,,,,,,,,,,,,,10.2191121267,-51.3802754273,0.001,0.001,0,4.92524804726856E+018,10.220571085,0.0198,-51.3811250389,0.0181,6.671,0.0274,211.493,0.036,-197.324,0.037,0,685656,277.369,11.0981,384833,523.573,11.388207,438436,309.201,10.657155,0.731051,123.25,0.46,123.25,0.46,12,6153.75,0.0165,0.008,0.68,0.599,r1
0.152006,J00453930-7457294,00 45 39.3,-74 57 29.6,11.7,57608.82169,1200,31,-31.23,0.41,RAVE DR5,,4947,2.01,-2,0.16,115,22,1.9,,0.93,,0.83,,0.37,,0.55,,-0.18,,0.46,CEMP-r,,,7.36,,,,,,,,,,,,,,5.5,,,,,,1.7,,,,,0.55,,,,,,-0.93,,,,,,,,,,,,,,,,,11.4138901936,-74.9582007955,0.001,0.001,90,4.68471654711463E+018,11.4139447735,0.0224,-74.9584031324,0.0193,0.5655,0.0226,3.29,0.046,-46.994,0.043,0,489343,121.607,11.464332,227852,176.241,11.957256,373726,352.528,10.830538,1.126719,-31.81,0.54,-31.81,0.54,11,4970.58,,,11.05,67.173,r1
0.225507,J01202234-5425582,01 20 22.3,-54 25 58.2,12.6,57606.89108,2700,32,68,0.85,RAVE DR5,,5125,2.53,-2.11,0.16,104,22,1.75,,-0.09,,0.5,,0.16,,0.3,,-0.14,,0.34,r-I,,,6.23,,,,,,,,,,,,,,5.39,,,,,,1.26,,,,,0.23,,,,,,-1.29,,,,,,,,,,,,,,,,,20.093017508,-54.4328553209,0.001,0,0,4.91431505339707E+018,20.093261947,0.0168,-54.4328386539,0.0161,0.6521,0.0217,33.022,0.031,3.871,0.032,0,200076,26.4759,12.435378,101952,129.373,12.830402,143054,111.007,11.873168,0.957234,68.71,0.46,68.71,0.46,15,5370,,,5.07,19.284,r1
0.44889,J01293113-1600454,01 29 31.1,-16 00 45.5,11.6,57609.84994,800,25,139.47,0.3,RAVE DR5,"CS 31082-001, BD-16 251    ",4876,1.8,-2.81,0.12,74,14,2.13,,0.35,,0.88,,0.95,,1.76,,-0.81,,-0.07,r-II,,,5.97,,,,,,,,,,,,,,4.69,,,,,,0.94,,,,,0.32,,,,,,-0.53,,,,,,,,,,,,,,,,,22.3797130542,-16.0126379126,0.001,0.001,90,2.45177394195871E+018,22.3797656626,0.0332,-16.0128218007,0.0232,0.4806,0.0462,11.745,0.093,-42.709,0.038,0,513496,316.919,11.412022,247098,217.001,11.869215,381830,209.836,10.807244,1.061971,139.09,0.85,139.09,0.85,11,5135.22,,,12.27,94.39,
0.155837,J01425422-5032488,01 42 54.2,-50 32 48.9,11.4,57609.8636,1000,33,158.15,0.17,RAVE DR5,,5132,2.65,-2.09,0.12,122,20,1.55,,0.07,,0.13,,-0.13,,0.38,,-0.51,,0.26,r-I,,,6.41,,,,,,,,,,,,,,5.41,,,,,,0.91,,,,,-0.04,,,,,,-1.19,,,,,,,,,,,,,,,,,25.7258738113,-50.5468818491,0.001,0.001,90,4.91675459482179E+018,25.7262850985,0.0194,-50.5473164709,0.0173,1.4569,0.0243,60.701,0.035,-100.944,0.033,0,656187,312.888,11.145797,336392,258.29,11.534274,460115,261.18,10.604754,0.929521,157.57,0.31,157.57,0.31,17,5411.5,,,4.04,12.605,r1
0.407575,J01451951-2800583,01 45 19.5,-28 00 58.4,11.7,57608.88461,1100,38,34.89,0.28,RAVE DR5,,4495,0.67,-2.8,0.15,69,20,2.1,,-0.69,,0.3,,-0.98,<,-0.38,>,-0.6,,1.28,limited-r,,,4.94,,,,,,,,,,,,,,4.7,,,,,,0.37,,,,,-1.6,,,,,,-2.66,,,,,,,,,,,,,,,,,26.3313768567,-28.0162388281,0.001,0.001,90,5.02496980053675E+018,26.331442964,0.0249,-28.0162764018,0.0218,0.1894,0.0362,13.555,0.065,-8.727,0.041,0,538018,462.405,11.361373,224153,303.335,11.975028,445248,422.136,10.640414,1.334614,21.26,5.23,21.26,5.23,12,4810.25,,,37.68,685.018,limited-r
0.617861,J01530024-3417360,01 53 00.2,-34 17 36.1,9.6,57606.91442,900,72,22.81,0.33,RAVE DR5,"HD 11582, CD-34 722        ",5323,3.26,-1.5,0.13,132,21,1.4,,0.01,,0.4,,0.09,,0.71,,-0.62,,0.31,r-I,,,6.94,,,,,,,,,,,,,,6,,,,,,1.77,,,,,0.77,,,,,,-0.27,,,,,,,,,,,,,,,,,28.2510161986,-34.2934425483,0.001,0.001,0,5.01724026815382E+018,28.2511318391,0.0229,-34.2943555868,0.0246,3.2385,0.0386,22.189,0.041,-212.06,0.045,0,3424020,499.272,9.352025,1732200,985.33,9.754892,2410950,1831.71,8.806449,0.948443,22.65,0.26,22.65,0.26,9,5233.86,1.5122,0.7633,4.49,13.637,
